Date,Team,League,Game,Type,Sportbook,Bet,Result,Odds,Wager
2024-08-05,ThunderTalk Gaming,LPL,LOL,Moneyline,ThunderPick,Game1 Winner,W,1.85,1
2024-08-05,ThunderTalk Gaming,LPL,LOL,Moneyline,ThunderPick,Match Winner,W,1.85,2
2024-08-05,NNO Prime,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,L,2.4,1
2024-08-05,KC Blue,EUM ME,LOL,Kills Handicap,ThunderPick,-8.5 Kills,W,1.65,1
2024-08-05,Macko Esports,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,W,1.5,2
2024-08-05,Ramboot Club,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,L,1.95,1
2024-08-05,Los Heretics,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,W,1.62,1
2024-08-06,Misa Esports,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,W,1.95,1
2024-08-06,Geekay Esports,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,W,2.60,0.5
2024-08-06,Team Phantasma,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,W,1.75,1
2024-08-06,Team GO,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,W,1.78,1
2024-08-06,Macko Esports,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,W,1.52,1
2024-08-06,Vitality.Bee,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,W,1.95,1
2024-08-07,KT Rolster,LCK,LOL,Moneyline,ThunderPick,Game1 Winner,L,1.45,1
2024-08-07,Parapara Supermassive,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,W,1.52,1
2024-08-07,Geekay Esports,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,W,1.62,1
2024-08-07,Dark Passage,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,W,2.00,1
2024-08-07,Team GO,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,W,1.65,1
2024-08-07,Boostgate Esports,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,L,1.62,1
2024-08-07,Karmine Corp Blue,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,W,1.58,1
2024-08-07,Team BDS Academy,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,W,1.42,1
2024-08-07,Los Heretics,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,L,1.40,1
2024-08-08,BK ROG Esports,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,,1.52,1
2024-08-08,UOL Sexy Edition,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,,1.55,1
2024-08-08,Team BDS Academy,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,,1.40,1
2024-08-08,SK Gaming Prime,EUM ME,LOL,Moneyline,ThunderPick,Match Winner,,1.55,1
2024-08-08,Dsyre/DarkPassage,EUM ME,LOL,Over/Under Maps,ThunderPick,Over 2.5,,2.00,1
2024-08-08,Vitality.Bee/GeekayEsports,EUM ME,LOL,Over/Under Maps,ThunderPick,Over 2.5,,,1
